1	A1BG	1	11167	A1bg	MGI:2152878	NA	NA
181	ABCC2	1244	68052	Abcc2	MGI:1352447	MP:0005367	NA
182	ABCC2	1244	68052	Abcc2	MGI:1352447	MP:0005376	NA
183	ABCC2	1244	68052	Abcc2	MGI:1352447	MP:0005370	NA
184	ABCC2	1244	68052	Abcc2	MGI:1352447	MP:0005397	NA
185	ABCC3	8714	68364	Abcc3	MGI:1923658	MP:0005376	NA
186	ABCC3	8714	68364	Abcc3	MGI:1923658	MP:0010771	NA
187	ABCC3	8714	68364	Abcc3	MGI:1923658	MP:0005386	NA
188	ABCC4	10257	74563	Abcc4	MGI:2443111	MP:0005386	NA
189	ABCC4	10257	74563	Abcc4	MGI:2443111	MP:0005397	NA
190	ABCC4	10257	74563	Abcc4	MGI:2443111	MP:0005385	NA
191	ABCC4	10257	74563	Abcc4	MGI:2443111	MP:0010768	NA
192	ABCC4	10257	74563	Abcc4	MGI:2443111	MP:0005381	NA
193	ABCC4	10257	74563	Abcc4	MGI:2443111	MP:0003631	NA
194	ABCC4	10257	74563	Abcc4	MGI:2443111	MP:0005387	NA
195	ABCC4	10257	74563	Abcc4	MGI:2443111	MP:0005376	NA
196	ABCC4	10257	74563	Abcc4	MGI:2443111	MP:0005367	NA
197	ABCC4	10257	74563	Abcc4	MGI:2443111	MP:0005378	NA
198	ABCC4	10257	74563	Abcc4	MGI:2443111	MP:0010771	NA
199	ABCC4	10257	74563	Abcc4	MGI:2443111	MP:0005379	NA
200	ABCC5	10057	21164	Abcc5	MGI:1351644	NA	NA
201	ABCC6	368	55559	Abcc6	MGI:1351634	MP:0005376	NA
202	ABCC6	368	55559	Abcc6	MGI:1351634	MP:0010771	NA
203	ABCC6	368	55559	Abcc6	MGI:1351634	MP:0005385	NA
204	ABCC6	368	55559	Abcc6	MGI:1351634	MP:0005391	NA
205	ABCC6	368	55559	Abcc6	MGI:1351634	MP:0005367	NA
206	ABCC8	6833	68048	Abcc8	MGI:1352629	MP:0005379	NA
207	ABCC8	6833	68048	Abcc8	MGI:1352629	MP:0005376	NA
208	ABCC9	10060	56521	Abcc9	MGI:1352630	MP:0005378	NA
209	ABCC9	10060	56521	Abcc9	MGI:1352630	MP:0005369	NA
210	ABCC9	10060	56521	Abcc9	MGI:1352630	MP:0005384	NA
211	ABCC9	10060	56521	Abcc9	MGI:1352630	MP:0005376	NA
212	ABCC9	10060	56521	Abcc9	MGI:1352630	MP:0010768	NA
213	ABCC9	10060	56521	Abcc9	MGI:1352630	MP:0005385	NA
214	ABCD1	215	55426	Abcd1	MGI:1349215	MP:0005397	NA
215	ABCD1	215	55426	Abcd1	MGI:1349215	MP:0002873	NA
216	ABCD1	215	55426	Abcd1	MGI:1349215	MP:0005389	NA
217	ABCD1	215	55426	Abcd1	MGI:1349215	MP:0005386	NA
218	ABCD1	215	55426	Abcd1	MGI:1349215	MP:0005387	NA
219	ABCD1	215	55426	Abcd1	MGI:1349215	MP:0005376	NA
220	ABCD1	215	55426	Abcd1	MGI:1349215	MP:0003631	NA
221	ABCD1	215	55426	Abcd1	MGI:1349215	MP:0005391	NA
222	ABCD1	215	55426	Abcd1	MGI:1349215	MP:0005395	NA
223	ABCD1	215	55426	Abcd1	MGI:1349215	MP:0005379	NA
224	ABCD2	225	55873	Abcd2	MGI:1349467	MP:0003631	NA
225	ABCD2	225	55873	Abcd2	MGI:1349467	MP:0005387	NA
226	ABCD2	225	55873	Abcd2	MGI:1349467	MP:0005386	NA
227	ABCD2	225	55873	Abcd2	MGI:1349467	MP:0005397	NA
228	ABCD2	225	55873	Abcd2	MGI:1349467	MP:0005379	NA
229	ABCD2	225	55873	Abcd2	MGI:1349467	MP:0005376	NA
230	ABCD3	5825	2140	Abcd3	MGI:1349216	NA	NA
231	ABCD4	5826	3703	Abcd4	MGI:1349217	MP:0005395	NA
232	ABCD4	5826	3703	Abcd4	MGI:1349217	MP:0010771	NA
233	ABCD4	5826	3703	Abcd4	MGI:1349217	MP:0005386	NA
234	ABCE1	6059	2205	Abce1	MGI:1195458	MP:0010768	NA
235	ABCF1	23	849	Abcf1	MGI:1351658	NA	NA
236	ABCF2	10061	21408	Abcf2	MGI:1351657	NA	NA
237	ABCF3	55324	22784	Abcf3	MGI:1351656	NA	NA
238	ABCG1	9619	21022	Abcg1	MGI:107704	MP:0005376	NA
239	ABCG1	9619	21022	Abcg1	MGI:107704	MP:0005384	NA
240	ABCG1	9619	21022	Abcg1	MGI:107704	MP:0005378	NA
241	ABCG1	9619	21022	Abcg1	MGI:107704	MP:0005375	NA
242	ABCG1	9619	21022	Abcg1	MGI:107704	MP:0005370	NA
243	ABCG1	9619	21022	Abcg1	MGI:107704	MP:0005388	NA
244	ABCG1	9619	21022	Abcg1	MGI:107704	MP:0005386	NA
245	ABCG1	9619	21022	Abcg1	MGI:107704	MP:0005387	NA
246	ABCG1	9619	21022	Abcg1	MGI:107704	MP:0005390	NA
247	ABCG1	9619	21022	Abcg1	MGI:107704	MP:0005397	NA
248	ABCG2	9429	55852	Abcg2	MGI:1347061	MP:0002873	NA
249	ABCG2	9429	55852	Abcg2	MGI:1347061	MP:0005397	NA
250	ABCG2	9429	55852	Abcg2	MGI:1347061	MP:0005370	NA
251	ABCG2	9429	55852	Abcg2	MGI:1347061	MP:0005384	NA
252	ABCG2	9429	55852	Abcg2	MGI:1347061	MP:0005387	NA
253	ABCG2	9429	55852	Abcg2	MGI:1347061	MP:0005376	NA
254	ABCG2	9429	55852	Abcg2	MGI:1347061	MP:0003631	NA
255	ABCG2	9429	55852	Abcg2	MGI:1347061	MP:0010771	NA
256	ABCG4	64137	75179	Abcg4	MGI:1890594	MP:0005376	NA
257	ABCG4	64137	75179	Abcg4	MGI:1890594	MP:0005384	NA
258	ABCG5	64240	31909	Abcg5	MGI:1351659	MP:0005369	NA
259	ABCG5	64240	31909	Abcg5	MGI:1351659	MP:0005384	NA
260	ABCG5	64240	31909	Abcg5	MGI:1351659	MP:0005376	NA
261	ABCG5	64240	31909	Abcg5	MGI:1351659	MP:0005386	NA
262	ABCG5	64240	31909	Abcg5	MGI:1351659	MP:0005370	NA
263	ABCG5	64240	31909	Abcg5	MGI:1351659	MP:0010768	NA
264	ABCG5	64240	31909	Abcg5	MGI:1351659	MP:0005389	NA
265	ABCG5	64240	31909	Abcg5	MGI:1351659	MP:0005378	NA
266	ABCG5	64240	31909	Abcg5	MGI:1351659	MP:0005385	NA
267	ABCG5	64240	31909	Abcg5	MGI:1351659	MP:0005397	NA
268	ABCG5	64240	31909	Abcg5	MGI:1351659	MP:0005381	NA
269	ABCG5	64240	31909	Abcg5	MGI:1351659	MP:0005387	NA
270	ABCG8	64241	23361	Abcg8	MGI:1914720	MP:0005370	NA
271	ABCG8	64241	23361	Abcg8	MGI:1914720	MP:0005376	NA
272	ABCG8	64241	23361	Abcg8	MGI:1914720	MP:0005381	NA
273	ABCG8	64241	23361	Abcg8	MGI:1914720	MP:0005384	NA
274	ABHD10	55347	10173	Abhd10	MGI:2442422	NA	NA
275	ABHD11	83451	5961	Abhd11	MGI:1916008	NA	NA
276	ABHD12	26090	22910	Abhd12	MGI:1923442	MP:0005377	NA
277	ABHD12	26090	22910	Abhd12	MGI:1923442	MP:0003631	NA
278	ABHD12	26090	22910	Abhd12	MGI:1923442	MP:0005387	NA
279	ABHD12	26090	22910	Abhd12	MGI:1923442	MP:0005386	NA
280	ABHD12	26090	22910	Abhd12	MGI:1923442	MP:0005397	NA
281	ABHD12	26090	22910	Abhd12	MGI:1923442	MP:0005369	NA
282	ABHD12	26090	22910	Abhd12	MGI:1923442	MP:0005376	NA
283	ABHD12B	145447	128243	Abhd12b	MGI:2685650	NA	NA
284	ABHD13	84945	6716	Abhd13	MGI:1916154	NA	NA
285	ABHD14A	25864	22889	Abhd14a	MGI:1915894	NA	NA
286	ABHD14B	84836	9125	Abhd14b	MGI:1923741	NA	NA
287	ABHD15	116236	12142	Abhd15	MGI:1914727	NA	NA
288	ABHD16A	7920	10904	Abhd16a	MGI:99476	NA	NA
289	ABHD16B	140701	15422	Abhd16b	MGI:3607711	NA	NA
290	ABHD17A	81926	50272	Abhd17a	MGI:106388	NA	NA
291	ABHD17B	51104	41089	Abhd17b	MGI:1917816	NA	NA
292	ABHD17C	58489	26429	Abhd17c	MGI:1917428	NA	NA
293	ABHD2	11057	23121	Abhd2	MGI:1914344	MP:0005384	NA
294	ABHD2	11057	23121	Abhd2	MGI:1914344	MP:0005376	NA
295	ABHD2	11057	23121	Abhd2	MGI:1914344	MP:0005385	NA
296	ABHD3	171586	14055	Abhd3	MGI:2147183	NA	NA
297	ABHD4	63874	56937	Abhd4	MGI:1915938	NA	NA
298	ABHD5	51099	41088	Abhd5	MGI:1914719	MP:0005387	NA
299	ABHD5	51099	41088	Abhd5	MGI:1914719	MP:0005390	NA
300	ABHD5	51099	41088	Abhd5	MGI:1914719	MP:0005385	NA
301	ABHD5	51099	41088	Abhd5	MGI:1914719	MP:0005397	NA
302	ABHD5	51099	41088	Abhd5	MGI:1914719	MP:0005378	NA
303	ABHD5	51099	41088	Abhd5	MGI:1914719	MP:0010768	NA
304	ABHD5	51099	41088	Abhd5	MGI:1914719	MP:0010771	NA
305	ABHD5	51099	41088	Abhd5	MGI:1914719	MP:0005370	NA
306	ABHD5	51099	41088	Abhd5	MGI:1914719	MP:0005376	NA
307	ABHD5	51099	41088	Abhd5	MGI:1914719	MP:0005384	NA
308	ABHD5	51099	41088	Abhd5	MGI:1914719	MP:0005369	NA
309	ABHD6	57406	23246	Abhd6	MGI:1913332	NA	NA
310	ABHD8	79575	11188	Abhd8	MGI:1918946	NA	NA
311	ABI1	10006	38053	Abi1	MGI:104913	MP:0003631	NA
312	ABI1	10006	38053	Abi1	MGI:104913	MP:0005387	NA
313	ABI1	10006	38053	Abi1	MGI:104913	MP:0005380	NA
314	ABI1	10006	38053	Abi1	MGI:104913	MP:0005378	NA
315	ABI1	10006	38053	Abi1	MGI:104913	MP:0005397	NA
316	ABI1	10006	38053	Abi1	MGI:104913	MP:0005385	NA
317	ABI1	10006	38053	Abi1	MGI:104913	MP:0010768	NA
318	ABI1	10006	38053	Abi1	MGI:104913	MP:0005382	NA
319	ABI1	10006	38053	Abi1	MGI:104913	MP:0005376	NA
320	ABI1	10006	38053	Abi1	MGI:104913	MP:0005384	NA
321	ABI2	10152	4209	Abi2	MGI:106913	MP:0005384	NA
322	ABI2	10152	4209	Abi2	MGI:106913	MP:0005397	NA
323	ABI2	10152	4209	Abi2	MGI:106913	MP:0005386	NA
324	ABI2	10152	4209	Abi2	MGI:106913	MP:0005387	NA
325	ABI2	10152	4209	Abi2	MGI:106913	MP:0003631	NA
326	ABI2	10152	4209	Abi2	MGI:106913	MP:0005391	NA
327	ABI3	51225	9505	Abi3	MGI:1913860	NA	NA
328	ABL1	25	3783	Abl1	MGI:87859	MP:0005385	NA
329	ABL1	25	3783	Abl1	MGI:87859	MP:0005397	NA
330	ABL1	25	3783	Abl1	MGI:87859	MP:0010768	NA
331	ABL1	25	3783	Abl1	MGI:87859	MP:0002873	NA
332	ABL1	25	3783	Abl1	MGI:87859	MP:0005380	NA
333	ABL1	25	3783	Abl1	MGI:87859	MP:0005388	NA
334	ABL1	25	3783	Abl1	MGI:87859	MP:0005370	NA
335	ABL1	25	3783	Abl1	MGI:87859	MP:0005386	NA
336	ABL1	25	3783	Abl1	MGI:87859	MP:0005387	NA
337	ABL1	25	3783	Abl1	MGI:87859	MP:0005384	NA
338	ABL1	25	3783	Abl1	MGI:87859	MP:0005390	NA
339	ABL1	25	3783	Abl1	MGI:87859	MP:0005369	NA
340	ABL1	25	3783	Abl1	MGI:87859	MP:0005381	NA
341	ABL1	25	3783	Abl1	MGI:87859	MP:0003631	NA
342	ABL1	25	3783	Abl1	MGI:87859	MP:0005382	NA
343	ABL1	25	3783	Abl1	MGI:87859	MP:0005391	NA
344	ABL1	25	3783	Abl1	MGI:87859	MP:0005378	NA
345	ABL1	25	3783	Abl1	MGI:87859	MP:0005379	NA
346	ABL1	25	3783	Abl1	MGI:87859	MP:0005376	NA
347	ABL2	27	5278	Abl2	MGI:87860	MP:0005386	NA
348	ABL2	27	5278	Abl2	MGI:87860	MP:0005380	NA
349	ABL2	27	5278	Abl2	MGI:87860	MP:0010768	NA
350	ABL2	27	5278	Abl2	MGI:87860	MP:0005389	NA
351	ABL2	27	5278	Abl2	MGI:87860	MP:0005385	NA
352	ABL2	27	5278	Abl2	MGI:87860	MP:0003631	NA
353	ABL2	27	5278	Abl2	MGI:87860	MP:0005384	NA
354	ABL2	27	5278	Abl2	MGI:87860	MP:0005376	NA
355	ABL2	27	5278	Abl2	MGI:87860	MP:0005378	NA
356	ABLIM1	3983	40994	Ablim1	MGI:1194500	MP:0002873	NA
357	ABLIM2	84448	82366	Ablim2	MGI:2385758	NA	NA
358	ABLIM3	22885	69175	Ablim3	MGI:2442582	NA	NA
359	ABO	28	69306	Abo	MGI:2135738	MP:0005385	NA
360	ABR	29	11081	Abr	MGI:107771	MP:0005384	NA
361	ABR	29	11081	Abr	MGI:107771	MP:0010768	NA
362	ABR	29	11081	Abr	MGI:107771	MP:0002873	NA
363	ABR	29	11081	Abr	MGI:107771	MP:0005386	NA
364	ABR	29	11081	Abr	MGI:107771	MP:0003631	NA
365	ABR	29	11081	Abr	MGI:107771	MP:0005377	NA
366	ABRA	137735	34713	Abra	MGI:2444891	MP:0005376	NA
367	ABRA	137735	34713	Abra	MGI:2444891	MP:0005385	NA
368	ABRACL	58527	64011	Abracl	MGI:1920362	NA	NA
369	ABT1	29777	134288	Abt1	MGI:1353636	NA	NA
370	ABTB1	80325	32731	Abtb1	MGI:1933148	NA	NA
371	ABTB2	25841	15904	Abtb2	MGI:2139365	MP:0005387	NA
372	ABTB2	25841	15904	Abtb2	MGI:2139365	MP:0005386	NA
373	ABTB2	25841	15904	Abtb2	MGI:2139365	MP:0005397	NA
374	ACAA1	30	37497	Acaa1a	MGI:2148491	MP:0005376	NA
375	ACAA2	10449	4456	Acaa2	MGI:1098623	NA	NA
376	ACACA	31	31015	Acaca	MGI:108451	MP:0005378	NA
377	ACACA	31	31015	Acaca	MGI:108451	MP:0005376	NA
378	ACACA	31	31015	Acaca	MGI:108451	MP:0005380	NA
379	ACACA	31	31015	Acaca	MGI:108451	MP:0005370	NA
380	ACACA	31	31015	Acaca	MGI:108451	MP:0010768	NA
381	ACACB	32	74382	Acacb	MGI:2140940	MP:0005369	NA
382	ACACB	32	74382	Acacb	MGI:2140940	MP:0005384	NA
383	ACACB	32	74382	Acacb	MGI:2140940	MP:0005376	NA
384	ACACB	32	74382	Acacb	MGI:2140940	MP:0005386	NA
385	ACACB	32	74382	Acacb	MGI:2140940	MP:0005375	NA
386	ACACB	32	74382	Acacb	MGI:2140940	MP:0002873	NA
387	ACACB	32	74382	Acacb	MGI:2140940	MP:0010771	NA
388	ACACB	32	74382	Acacb	MGI:2140940	MP:0005385	NA
389	ACACB	32	74382	Acacb	MGI:2140940	MP:0005378	NA
