GeneSymbol	EntrezID	MedGenID	Phenotype	Grouped
MDM2	4193	C3280690	"Accelerated.tumor.formation,.susceptibility.to"	"Accelerated.tumor.formation,.susceptibility.to"
AAAS	8086	C1856419	Achalasia-alacrima.syndrome	Achalasia-alacrima.syndrome
LMBR1	64327	C0265559	Acheiropodia	Acheiropodia
TRIP11	9321	C0265273	"Achondrogenesis,.type.IA"	"Achondrogenesis,.type.IA"
COL2A1	1280	C0220685	Achondrogenesis.type.2	Achondrogenesis.type.3
FGFR3	2261	C0001080	Achondroplasia	Achondroplasia
CNGA3	1261	C1857618	Achromatopsia.2	Achromatopsia
CNGB3	54714	C1849792	Achromatopsia.3	Achromatopsia
GNAT2	2780	C1841721	Achromatopsia.4	Achromatopsia
PDE6C	5146	C2751309	Achromatopsia.5	Achromatopsia
ATF6	22926	CN230068	ACHROMATOPSIA.7	Achromatopsia
GAA	2548	C1847465	"Acid.alpha-glucosidase,.allele.2"	"Acid.alpha-glucosidase,.allele.3"
IGFALS	3483	CN069120	Acid-labile.subunit.deficiency	Acid-labile.subunit.deficiency
PSENEN	55851	C3151037	"Acne.inversa,.familial,.2"	"Acne.inversa,.familial,.2"
PSEN1	5663	C3151038	"Acne.inversa,.familial,.3"	"Acne.inversa,.familial,.3"
ATRX	546	C0585216	Acquired.hemoglobin.H.disease	Acquired.hemoglobin.H.disease
KCNE2	9992	C2732979	Acquired.long.QT.syndrome	Acquired.long.QT.syndrome
KCNH2	3757	C2732979	Acquired.long.QT.syndrome	Acquired.long.QT.syndrome
SCN5A	6331	C2732979	Acquired.long.QT.syndrome	Acquired.long.QT.syndrome
LMNB2	84823	C0220989	Acquired.partial.lipodystrophy	Acquired.partial.lipodystrophy
KIF7	374654	C0796147	"Acrocallosal.syndrome,.Schinzel.type"	"Acrocallosal.syndrome,.Schinzel.type"
IHH	3549	C1843096	Acrocapitofemoral.dysplasia	Acrocapitofemoral.dysplasia
FGFR2	2263	C0001193	Acrocephalosyndactyly.type.I	Acrocephalosyndactyly.type.I
PRKAR1A	5573	C3276228	Acrodysostosis.1.with.or.without.hormone.resistance	Acrodysostosis.1.with.or.without.hormone.resistance
PDE4D	5144	C3553250	"Acrodysostosis.2,.with.or.without.hormone.resistance"	"Acrodysostosis.2,.with.or.without.hormone.resistance"
SLURP1	57152	C0025221	Acroerythrokeratoderma	Acroerythrokeratoderma
POLR1A	25885	CN231445	"ACROFACIAL.DYSOSTOSIS,.CINCINNATI.TYPE"	"ACROFACIAL.DYSOSTOSIS,.CINCINNATI.TYPE"
ATP2A2	488	C0265971	Acrokeratosis.verruciformis.of.Hopf	Acrokeratosis.verruciformis.of.Hopf
ZSWIM6	57688	C1863616	Acromelic.frontonasal.dysostosis	Acromelic.frontonasal.dysostosis
GDF5	8200	C2930970	Acromesomelic.dysplasia.Hunter.Thompson.type	Acromesomelic.dysplasia.Hunter.Thompson.type
NPR2	4882	C1864356	Acromesomelic.dysplasia.Maroteaux.type	Acromesomelic.dysplasia.Maroteaux.type
FBN1	2200	CN074238	Acromicric.dysplasia	Acromicric.dysplasia
TBX19	9095	C0342388	ACTH.deficiency	ACTH.deficiency
MC2R	4158	C1859974	ACTH.resistance	ACTH.resistance
ARMC5	79798	CN207837	Acth-independent.macronodular.adrenal.hyperplasia.2	Acth-independent.macronodular.adrenal.hyperplasia.3
PIK3CD	5293	C3714976	Activated.PI3K-delta.syndrome	Activated.PI3K-delta.syndrome
HMBS	3145	C0162565	Acute.intermittent.porphyria	Acute.intermittent.porphyria
FLT3	2322	C0023449	Acute.lymphoid.leukemia	Acute.lymphoid.leukemia
GATA1	2623	C0023462	Acute.megakaryoblastic.leukemia	Acute.megakaryoblastic.leukemia
EPOR	2057	C0023440	"Acute.myeloid.leukemia,.M6.type"	"Acute.myeloid.leukemia,.M6.type"
GBA	2629	C0268250	Acute.neuronopathic.Gaucher's.disease	Acute.neuronopathic.Gaucher's.disease
ACAD9	28976	C1970173	"Acyl-CoA.dehydrogenase.family,.member.9,.deficiency.of"	"Acyl-CoA.dehydrogenase.family,.member.9,.deficiency.of"
DLL4	54567	C0265268	Adams-Oliver.syndrome	Adams-Oliver.syndrome
DOCK6	57572	C0265268	Adams-Oliver.syndrome	Adams-Oliver.syndrome
EOGT	285203	C0265268	Adams-Oliver.syndrome	Adams-Oliver.syndrome
ARHGAP31	57514	CN028867	Adams-Oliver.syndrome.1	Adams-Oliver.syndrome
NOTCH1	4851	CN028867	Adams-Oliver.syndrome.1	Adams-Oliver.syndrome
DOCK6	57572	C3280182	Adams-Oliver.syndrome.2	Adams-Oliver.syndrome
RBPJ	3516	C3553748	Adams-Oliver.syndrome.3	Adams-Oliver.syndrome
EOGT	285203	C3809092	Adams-Oliver.syndrome.4	Adams-Oliver.syndrome
NOTCH1	4851	CN219575	Adams-Oliver.syndrome.5	Adams-Oliver.syndrome
ABCD1	215	C1868690	Addison's.disease	Addison's.disease
APRT	353	C0268120	Adenine.phosphoribosyltransferase.deficiency	Adenine.phosphoribosyltransferase.deficiency
BRAF	673	C0152013	Adenocarcinoma.of.lung	Adenocarcinoma.of.lung
ERBB2	2064	C0152013	Adenocarcinoma.of.lung	Adenocarcinoma.of.lung
PARK2	5071	C0152013	Adenocarcinoma.of.lung	Adenocarcinoma.of.lung
PKLR	5313	C1863224	"Adenosine.triphosphate,.elevated,.of.erythrocytes"	"Adenosine.triphosphate,.elevated,.of.erythrocytes"
AK1	203	C2675459	"Adenylate.kinase.deficiency,.hemolytic.anemia.due.to"	"Adenylate.kinase.deficiency,.hemolytic.anemia.due.to"
ADSL	158	C0268126	Adenylosuccinate.lyase.deficiency	Adenylosuccinate.lyase.deficiency
SMARCAD1	56916	C1851080	Adermatoglyphia	Adermatoglyphia
NPHP3	27031	C1858392	Adolescent.nephronophthisis	Adolescent.nephronophthisis
NR0B1	190	C1846220	"Adrenal.hypoplasia,.congenital,.with.precocious.puberty"	"Adrenal.hypoplasia,.congenital,.with.precocious.puberty"
CYP11A1	1583	C3151055	"Adrenal.insufficiency,.congenital,.with.46,XY.sex.reversal,.partial.or.complete"	"Adrenal.insufficiency,.congenital,.with.46,XY.sex.reversal,.partial.or.complete"
NR0B1	190	C1846221	"Adrenal.insufficiency,.progressive,.and.hypogonadotropic.hypogonadism"	"Adrenal.insufficiency,.progressive,.and.hypogonadotropic.hypogonadism"
ABCD1	215	C0162309	Adrenoleukodystrophy	Adrenoleukodystrophy
COL17A1	1308	C0268374	Adult.junctional.epidermolysis.bullosa	Adult.junctional.epidermolysis.bullosa
ITGB4	3691	C0268374	Adult.junctional.epidermolysis.bullosa	Adult.junctional.epidermolysis.bullosa
LAMA3	3909	C0268374	Adult.junctional.epidermolysis.bullosa	Adult.junctional.epidermolysis.bullosa
LAMB3	3914	C0268374	Adult.junctional.epidermolysis.bullosa	Adult.junctional.epidermolysis.bullosa
LAMC2	3918	C0268374	Adult.junctional.epidermolysis.bullosa	Adult.junctional.epidermolysis.bullosa
CLN6	54982	C0022797	Adult.neuronal.ceroid.lipofuscinosis	Adult.neuronal.ceroid.lipofuscinosis
APTX	54840	C1859598	Adult.onset.ataxia.with.oculomotor.apraxia	Adult.onset.ataxia.with.oculomotor.apraxia
TP63	8626	C1863204	ADULT.syndrome	ADULT.syndrome
PER2	8864	C1858496	"Advanced.sleep.phase.syndrome,.familial"	Advanced.sleep.phase.syndrome
CSNK1D	1453	C3808874	"Advanced.sleep.phase.syndrome,.familial,.2"	Advanced.sleep.phase.syndrome
CFI	3426	C0001733	Afibrinogenemia	Afibrinogenemia
FGA	2243	CN071205	"Afibrinogenemia,.congenital"	Afibrinogenemia
FGB	2244	CN071205	"Afibrinogenemia,.congenital"	Afibrinogenemia
FGG	2266	CN071205	"Afibrinogenemia,.congenital"	Afibrinogenemia
IGHM	3507	C1832241	"Agammaglobulinemia,.non-Bruton.type"	Agammaglobulinemia
IGLL1	3543	C3150750	"Agammaglobulinemia.2,.autosomal.recessive"	Agammaglobulinemia
CD79A	973	C3150751	"Agammaglobulinemia.3,.autosomal.recessive"	Agammaglobulinemia
BLNK	29760	C3150752	"Agammaglobulinemia.4,.autosomal.recessive"	Agammaglobulinemia
LRRC8A	56262	C3150753	"Agammaglobulinemia.5,.autosomal.dominant"	Agammaglobulinemia
CD79B	974	C3150207	"Agammaglobulinemia.6,.autosomal.recessive"	Agammaglobulinemia
PIK3R1	5295	C3554689	"Agammaglobulinemia.7,.autosomal.recessive"	Agammaglobulinemia
CST3	1471	C2677774	Age-related.macular.degeneration.11	Age-related.macular.degeneration
CX3CR1	1524	C3151079	Age-related.macular.degeneration.12	Age-related.macular.degeneration
C2	717	C3809653	Age-related.macular.degeneration.14	Age-related.macular.degeneration
CFB	629	C3809653	Age-related.macular.degeneration.14	Age-related.macular.degeneration
FBLN5	10516	C1837187	Age-related.macular.degeneration.3	Age-related.macular.degeneration
CFH	3075	C1853147	Age-related.macular.degeneration.4	Age-related.macular.degeneration
ERCC6	2074	C3151063	Age-related.macular.degeneration.5	Age-related.macular.degeneration
RAX2	84839	C3151060	Age-related.macular.degeneration.6	Age-related.macular.degeneration
HTRA1	5654	C1857813	Age-related.macular.degeneration.7	Age-related.macular.degeneration
ARMS2	387715	C3151070	Age-related.macular.degeneration.8	Age-related.macular.degeneration
TREX1	11277	C0796126	Aicardi.Goutieres.syndrome.1	Aicardi.Goutieres.syndrome
RNASEH2B	79621	C3489724	Aicardi.Goutieres.syndrome.2	Aicardi.Goutieres.syndrome
RNASEH2C	84153	C1835916	Aicardi.Goutieres.syndrome.3	Aicardi.Goutieres.syndrome
RNASEH2A	10535	C1835912	Aicardi.Goutieres.syndrome.4	Aicardi.Goutieres.syndrome
SAMHD1	25939	C2749659	Aicardi.Goutieres.syndrome.5	Aicardi.Goutieres.syndrome
ADAR	103	C3539013	Aicardi-goutieres.syndrome.6	Aicardi.Goutieres.syndrome
IFIH1	64135	CN188935	Aicardi-goutieres.syndrome.7	Aicardi.Goutieres.syndrome
KIR3DL1	3811	C1836233	"AIDS,.progression.to"	"AIDS,.progression.to"
GMPPA	29926	C3809738	"Alacrima,.achalasia,.and.mental.retardation.syndrome"	"Alacrima,.achalasia,.and.mental.retardation.syndrome"
JAG1	182	C1956125	Alagille.syndrome.1	Alagille.syndrome.1
NOTCH2	4853	C1857761	Alagille.syndrome.2	Alagille.syndrome.2
LARP7	51574	C3554439	Alazami.syndrome	Alazami.syndrome
SLC24A5	283652	CN178543	"ALBINISM,.OCULOCUTANEOUS,.TYPE.VI"	"ALBINISM,.OCULOCUTANEOUS,.TYPE.VI"
ADH1B	125	C0001973	Alcohol.dependence	Alcohol.dependence
ADH1C	126	C0001973	Alcohol.dependence	Alcohol.dependence
ALDH2	217	C0001973	Alcohol.dependence	Alcohol.dependence
ATP1A1	476	C1706762	Aldosterone.Producing.Adrenal.Cortex.Adenoma	Aldosterone.Producing.Adrenal.Cortex.Adenoma
ATP2B3	492	C1706762	Aldosterone.Producing.Adrenal.Cortex.Adenoma	Aldosterone.Producing.Adrenal.Cortex.Adenoma
CYP11B2	1585	C1852324	"Aldosterone.to.renin.ratio,.increased"	"Aldosterone.to.renin.ratio,.increased"
GFAP	2670	C0270726	Alexander's.disease	Alexander's.disease
HGD	3081	C0002066	Alkaptonuria	Alkaptonuria
RARA	5914	CN230750	all.trans.retinoic.acid.(ATRA).response	all.trans.retinoic.acid.(ATRA).response
SLC16A2	6567	C0795889	Allan-Herndon-Dudley.syndrome	Allan-Herndon-Dudley.syndrome
ALB	213	CN220290	Alloalbuminemia	Alloalbuminemia
SASH1	23328	C0002170	Alopecia	Alopecia
RBM28	55131	C2677535	"Alopecia,.neurologic.defects,.and.endocrinopathy.syndrome"	Alopecia
GJA1	2697	C1863093	Alopecia.congenita.keratosis.palmoplantaris	Alopecia
HR	55806	C1859877	Alopecia.universalis.congenita	Alopecia
CARS2	79587	CN221139	Alpers.encephalopathy	Alpers.encephalopathy
HBA1	3039	C0002312	alpha.Thalassemia	alpha.Thalassemia
HBA2	3040	C0002312	alpha.Thalassemia	alpha.Thalassemia
HBB	3043	C0002312	alpha.Thalassemia	alpha.Thalassemia
HBA2	3040	C0472762	Alpha.trait.thalassemia	alpha.Thalassemia
RAG1	5896	C1835931	"Alpha/beta.T-cell.lymphopenia.with.gamma/delta.T-cell.expansion,.severe.cytomegalovirus.infection,.and.autoimmunity"	"Alpha/beta.T-cell.lymphopenia.with.gamma/delta.T-cell.expansion,.severe.cytomegalovirus.infection,.and.autoimmunity"
SERPINA1	5265	C0221757	Alpha-1-antitrypsin.deficiency	Alpha-1-antitrypsin.deficiency
CRYAB	1410	C1837317	Alpha-B.crystallinopathy	Alpha-B.crystallinopathy
AFP	174	C1863080	"Alpha-fetoprotein,.hereditary.persistence.of"	"Alpha-fetoprotein,.hereditary.persistence.of"
AFP	174	C1863081	Alpha-fetoprotein.deficiency	Alpha-fetoprotein.deficiency
AMACR	23600	C1858325	Alpha-methylacyl-CoA.racemase.deficiency	Alpha-methylacyl-CoA.racemase.deficiency
COL4A3	1285	C1567743	"Alport.syndrome,.autosomal.dominant"	"Alport.syndrome,.autosomal.dominant"
COL4A3	1285	C1567744	"Alport.syndrome,.autosomal.recessive"	"Alport.syndrome,.autosomal.recessive"
COL4A4	1286	C1567744	"Alport.syndrome,.autosomal.recessive"	"Alport.syndrome,.autosomal.recessive"
COL4A5	1287	C1567742	"Alport.syndrome,.X-linked.recessive"	"Alport.syndrome,.X-linked.recessive"
ALMS1	7840	C0268425	Alstrom.syndrome	Alstrom.syndrome
PSEN2	5664	CN231084	"Altered.function,.association.with"	"Altered.function,.association.with"
KCNA5	3741	CN231063	altered.potassium.channel.function	altered.potassium.channel.function
ATP1A2	477	C3549447	Alternating.hemiplegia.of.childhood.1	Alternating.hemiplegia.of.childhood.1
ATP1A3	478	C3553788	Alternating.hemiplegia.of.childhood.2	Alternating.hemiplegia.of.childhood.2
FOXF1	2294	C0031190	Alveolar.capillary.dysplasia.with.misalignment.of.pulmonary.veins	Alveolar.capillary.dysplasia.with.misalignment.of.pulmonary.veins
APP	351	C1863053	"Alzheimer.disease,.early-onset,.with.cerebral.amyloid.angiopathy"	Alzheimer's.disease
PSEN1	5663	C1843015	"Alzheimer.disease,.familial,.3,.with.spastic.paraparesis.and.apraxia"	Alzheimer's.disease
PSEN1	5663	C1843014	"Alzheimer.disease,.familial,.3,.with.spastic.paraparesis.and.unusual.plaques"	Alzheimer's.disease
NOS3	4846	C1834153	"Alzheimer.disease,.late-onset,.susceptibility.to"	Alzheimer's.disease
PLAU	5328	C1834153	"Alzheimer.disease,.late-onset,.susceptibility.to"	Alzheimer's.disease
APP	351	C1863052	"Alzheimer.disease,.type.1"	Alzheimer's.disease
PSEN1	5663	C1843013	"Alzheimer.disease,.type.3"	Alzheimer's.disease
PSEN1	5663	C1847200	"Alzheimer.disease,.type.4"	Alzheimer's.disease
PSEN2	5664	C1847200	"Alzheimer.disease,.type.4"	Alzheimer's.disease
ADAM10	102	C3810041	Alzheimer.disease.18	Alzheimer's.disease
APP	351	C0002395	Alzheimer's.disease	Alzheimer's.disease
MT-ND1	4535	C0002395	Alzheimer's.disease	Alzheimer's.disease
PSEN1	5663	C0002395	Alzheimer's.disease	Alzheimer's.disease
PSEN2	5664	C0002395	Alzheimer's.disease	Alzheimer's.disease
FAM83H	286077	C0399376	"Amelogenesis.imperfecta,.hypocalcification.type"	Amelogenesis.imperfecta
KLK4	9622	C2673922	"Amelogenesis.imperfecta,.hypomaturation.type,.IIA1"	Amelogenesis.imperfecta
MMP20	9313	C2675858	"Amelogenesis.imperfecta,.hypomaturation.type,.IIA2"	Amelogenesis.imperfecta
WDR72	256764	C2750771	"AMELOGENESIS.IMPERFECTA,.HYPOMATURATION.TYPE,.IIA3"	Amelogenesis.imperfecta
C4orf26	152816	C3553830	"AMELOGENESIS.IMPERFECTA,.HYPOMATURATION.TYPE,.IIA4"	Amelogenesis.imperfecta
SLC24A4	123041	CN191988	"AMELOGENESIS.IMPERFECTA,.HYPOMATURATION.TYPE,.IIA5"	Amelogenesis.imperfecta
AMELX	265	C1845051	"Amelogenesis.imperfecta,.hypoplastic/hypomaturation,.X-linked.2"	Amelogenesis.imperfecta
FAM83H	286077	C1845051	"Amelogenesis.imperfecta,.hypoplastic/hypomaturation,.X-linked.2"	Amelogenesis.imperfecta
AMELX	265	C1845052	"Amelogenesis.imperfecta,.type.1E"	Amelogenesis.imperfecta
ARHGAP6	395	C1845052	"Amelogenesis.imperfecta,.type.1E"	Amelogenesis.imperfecta
LAMB3	3914	C0399367	"Amelogenesis.imperfecta,.type.IA"	Amelogenesis.imperfecta
AMBN	258	CN228593	"AMELOGENESIS.IMPERFECTA,.TYPE.IF"	Amelogenesis.imperfecta
ITGB6	3694	CN225925	"Amelogenesis.imperfecta,.type.IH"	Amelogenesis.imperfecta
ENAM	10117	C0399368	Amelogenesis.imperfecta.-.hypoplastic.autosomal.dominant.-.local	Amelogenesis.imperfecta
ACY1	95	C1835922	Aminoacylase.1.deficiency	Aminoacylase.1.deficiency
DHTKD1	55526	C1859817	Aminoacylase.1.deficiency	Aminoacylase.1.deficiency
MT-RNR1	4549	C1838854	Aminoacylase.1.deficiency	Aminoacylase.1.deficiency
ST3GAL5	8869	C1836824	Aminoacylase.1.deficiency	Aminoacylase.1.deficiency
SLC25A19	60386	C1846648	Aminoacylase.1.deficiency	Aminoacylase.1.deficiency
CEBPA	1050	C0023467	Aminoacylase.1.deficiency	Aminoacylase.1.deficiency
ETV6	2120	C0023467	Aminoacylase.1.deficiency	Aminoacylase.1.deficiency
FLT3	2322	C0023467	Aminoacylase.1.deficiency	Aminoacylase.1.deficiency
JAK2	3717	C0023467	Aminoacylase.1.deficiency	Aminoacylase.1.deficiency
KIT	3815	C0023467	Aminoacylase.1.deficiency	Aminoacylase.1.deficiency
KRAS	3845	C0023467	Aminoacylase.1.deficiency	Aminoacylase.1.deficiency
NPM1	4869	C0023467	Aminoacylase.1.deficiency	Aminoacylase.1.deficiency
TTR	7276	C2751492	Amyloidogenic.transthyretin.amyloidosis	Amyloidosis
TTR	7276	C3151470	"AMYLOIDOSIS,.LEPTOMENINGEAL,.TRANSTHYRETIN-RELATED"	Amyloidosis
IL31RA	133396	C3151404	"Amyloidosis,.primary.localized.cutaneous,.2"	Amyloidosis
VCP	7415	C3151403	"Amyotrophic.lateral.sclerosis.14,.with.or.without.frontotemporal.dementia"	Amyotrophic.lateral.sclerosis
UBQLN2	29978	C3275459	"Amyotrophic.lateral.sclerosis.15,.with.or.without.frontotemporal.dementia"	Amyotrophic.lateral.sclerosis
SIGMAR1	10280	C3280587	"Amyotrophic.lateral.sclerosis.16,.juvenile"	Amyotrophic.lateral.sclerosis
PFN1	5216	C3553719	Amyotrophic.lateral.sclerosis.18	Amyotrophic.lateral.sclerosis
ERBB4	2066	C3715155	Amyotrophic.lateral.sclerosis.19	Amyotrophic.lateral.sclerosis
HNRNPA1	3178	C3715156	Amyotrophic.lateral.sclerosis.20	Amyotrophic.lateral.sclerosis
TUBA4A	7277	CN225414	Amyotrophic.lateral.sclerosis.22.with.or.without.frontotemporal.dementia	Amyotrophic.lateral.sclerosis
FUS	2521	C2750729	"Amyotrophic.lateral.sclerosis.6,.autosomal.recessive"	Amyotrophic.lateral.sclerosis
SOD1	6647	C1862939	Amyotrophic.lateral.sclerosis.type.1	Amyotrophic.lateral.sclerosis
TARDBP	23435	C2677565	Amyotrophic.lateral.sclerosis.type.10	Amyotrophic.lateral.sclerosis
FIG4	9896	C2675491	Amyotrophic.lateral.sclerosis.type.11	Amyotrophic.lateral.sclerosis
OPTN	10133	C3150692	Amyotrophic.lateral.sclerosis.type.12	Amyotrophic.lateral.sclerosis
ALS2	57679	C1859807	Amyotrophic.lateral.sclerosis.type.2	Amyotrophic.lateral.sclerosis
SETX	23064	C1865409	Amyotrophic.lateral.sclerosis.type.4	Amyotrophic.lateral.sclerosis
FUS	2521	C1842675	Amyotrophic.lateral.sclerosis.type.6	Amyotrophic.lateral.sclerosis
VAPB	9217	C1837728	Amyotrophic.lateral.sclerosis.type.8	Amyotrophic.lateral.sclerosis
ANG	283	C2678468	Amyotrophic.lateral.sclerosis.type.9	Amyotrophic.lateral.sclerosis
ALB	213	C0878666	Analbuminemia	Analbuminemia
CPN1	1369	C0398782	Anaphylotoxin.inactivator.deficiency	Anaphylotoxin.inactivator.deficiency
RMRP	6023	C1846796	Anauxetic.dysplasia	Anauxetic.dysplasia
SLC12A6	9990	C0795950	Andermann.syndrome	Andermann.syndrome
KCNJ2	3759	C1563715	Andersen.Tawil.syndrome	Andersen.Tawil.syndrome
AR	367	C0039585	Androgen.resistance.syndrome	Androgen.resistance.syndrome
C15orf41	84529	C3810185	"ANEMIA,.CONGENITAL.DYSERYTHROPOIETIC,.TYPE.Ib"	Anemia
G6PD	2539	C2720289	"Anemia,.nonspherocytic.hemolytic,.due.to.G6PD.deficiency"	Anemia
GLRX5	51218	C2673914	"Anemia,.sideroblastic,.pyridoxine-refractory,.autosomal.recessive"	Anemia
SLC25A38	54977	C2673914	"Anemia,.sideroblastic,.pyridoxine-refractory,.autosomal.recessive"	Anemia
ABCB7	22	C1845028	Anemia.sideroblastic.and.spinocerebellar.ataxia	Anemia
GATA1	2623	C3151785	"Anemia.without.thromobocytopenia,.X-linked"	Anemia
CDKL5	6792	C0162635	Angelman.syndrome	Angelman.syndrome
MECP2	4204	C0162635	Angelman.syndrome	Angelman.syndrome
UBE3A	7337	C0162635	Angelman.syndrome	Angelman.syndrome
SERPING1	710	CN068782	"Angioedema,.hereditary,.autosomal.recessive"	Angioedema
XPNPEP2	7512	C3806711	"Angioedema.induced.by.ACE.inhibitors,.susceptibility.to"	Angioedema
COL4A1	1282	C2673195	"Angiopathy,.hereditary,.with.nephropathy,.aneurysms,.and.muscle.cramps"	"Angiopathy,.hereditary,.with.nephropathy,.aneurysms,.and.muscle.cramps"
ACE	1636	C1862874	"Angiotensin.i-converting.enzyme,.benign.serum.increase"	"Angiotensin.i-converting.enzyme,.benign.serum.increase"
HP	3240	C3279786	Anhaptoglobinemia	Anhaptoglobinemia
ITPR2	3709	C1862871	"Anhidrosis,.familial.generalized,.with.normal.sweat.glands"	"Anhidrosis,.familial.generalized,.with.normal.sweat.glands"
IKBKG	8517	C1846007	Anhidrotic.ectodermal.dysplasia.with.immune.deficiency	Anhidrotic.ectodermal.dysplasia.with.immune.deficiency
PAX6	5080	C0431401	"Aniridia,.cerebellar.ataxia,.and.mental.retardation"	"Aniridia,.cerebellar.ataxia,.and.mental.retardation"
HLA-B	3106	C0038013	Ankylosing.spondylitis	Ankylosing.spondylitis
RSPO4	343637	C0265998	Anonychia	Anonychia
SMOC1	64093	C0599973	Anophthalmos.with.limb.anomalies	Anophthalmos.with.limb.anomalies
FOXE3	2301	C1862839	Anterior.segment.mesenchymal.dysgenesis	Anterior.segment.mesenchymal.dysgenesis
PITX3	5309	C1862839	Anterior.segment.mesenchymal.dysgenesis	Anterior.segment.mesenchymal.dysgenesis
ERMAP	114625	C0443842	Antigen.in.Scianna.blood.group.system	Antigen.in.Scianna.blood.group.system
